state,zipcode,total_pop,total_income,country,avg_income
NY,10919,600,45294,USA,75490
NY,10920,4620,438738,USA,94964.93506493507
NY,10921,2250,178736,USA,79438.22222222222
NY,10923,4980,342379,USA,68750.8032128514
NY,10924,6400,653520,USA,102112.5
NY,10925,2500,201471,USA,80588.4
NY,10926,1950,154920,USA,79446.15384615384
NY,10927,6180,270726,USA,43806.796116504855
NY,10928,2260,128691,USA,56942.9203539823
NY,10930,4410,409861,USA,92939.0022675737
NY,10940,25110,1419464,USA,56529.82875348467
NY,10941,7350,477012,USA,64899.5918367347
NY,10950,18130,1420887,USA,78372.14561500275
NY,10952,12660,1411868,USA,111521.9589257504
NY,10954,12540,1085407,USA,86555.58213716108
NY,10956,16050,2017889,USA,125725.17133956387
NY,10958,1650,142360,USA,86278.78787878787
NY,10960,7730,922279,USA,119311.64294954723
NY,10962,2670,338505,USA,126780.89887640449
NY,10963,1240,86852,USA,70041.93548387097
NY,10964,740,197361,USA,266704.0540540541
NY,10965,7880,853420,USA,108302.0304568528
NY,10968,1260,199887,USA,158640.47619047618
NY,10969,630,47920,USA,76063.49206349206
NY,10970,5380,465202,USA,86468.77323420074
NY,10973,1170,92704,USA,79234.18803418803
NY,10974,1570,149054,USA,94938.85350318471
NY,10975,160,10760,USA,67250
NY,10976,850,66759,USA,78540
NY,10977,24270,1466145,USA,60409.765142150805
NY,10980,7230,646667,USA,89442.18533886583
NY,10983,3020,345988,USA,114565.56291390728
NY,10984,1350,116756,USA,86485.92592592593
NY,10985,160,10381,USA,64881.25
NY,10986,980,95892,USA,97848.97959183673
NY,10987,1900,308184,USA,162202.1052631579
NY,10989,4940,488080,USA,98801.61943319839
NY,10990,9870,1047471,USA,106126.74772036474
NY,10992,4840,399317,USA,82503.51239669422
NY,10993,2630,127250,USA,48384.03041825095
NY,10994,3880,530754,USA,136792.2680412371
NY,10996,1200,93881,USA,78234.16666666667
NY,10998,1630,136258,USA,83593.86503067485
NY,11001,14080,1365557,USA,96985.58238636363
NY,11003,24230,1382727,USA,57066.73545191911
NY,11004,6830,497011,USA,72768.81405563689
NY,11005,1480,270591,USA,182831.75675675675
NY,11010,12900,1046621,USA,81133.41085271318
NY,11020,3090,623315,USA,201720.0647249191
NY,11021,9330,1853078,USA,198615.0053590568
NY,11023,4110,812501,USA,197688.8077858881
NY,11024,3200,1434238,USA,448199.375
NY,11030,8750,3546763,USA,405344.34285714285
NY,11040,21860,2402252,USA,109892.58920402561
NY,11050,15330,3381745,USA,220596.5427266797
NY,11096,3980,181596,USA,45627.13567839196
